bed_id,block_idx,status,crop,variety,wave_id,family,water,notes,conflict_details,color,alpha,border_style,run_id
1,0,FLOWER,,,,,,,,#E6A8D7,1.0,solid,0
1,1,CROP,Greens Mixes,Ovation Greens Mix,Greens Mixes:Ovation Greens Mix:2026-02-14,Baby Greens,medium,Salad succession engine - high water,,#2E8B57,0.7,dashed,1
1,2,CROP,Greens Mixes,Ovation Greens Mix,Greens Mixes:Ovation Greens Mix:2026-02-14,Baby Greens,medium,Salad succession engine - high water,,#2E8B57,0.7,dashed,1
1,3,CROP,Greens Mixes,Ovation Greens Mix,Greens Mixes:Ovation Greens Mix:2026-02-14,Baby Greens,medium,Salad succession engine - high water,,#2E8B57,0.7,dashed,1
1,4,CROP,Greens Mixes,Ovation Greens Mix,Greens Mixes:Ovation Greens Mix:2026-02-14,Baby Greens,medium,Salad succession engine - high water,,#2E8B57,0.7,dashed,1
1,5,CROP,Greens Mixes,Ovation Greens Mix,Greens Mixes:Ovation Greens Mix:2026-02-14,Baby Greens,medium,Salad succession engine - high water,,#2E8B57,0.7,dashed,1
1,6,CROP,Greens Mixes,Ovation Greens Mix,Greens Mixes:Ovation Greens Mix:2026-02-14,Baby Greens,medium,Salad succession engine - high water,,#2E8B57,0.7,dashed,1
1,7,CROP,Greens Mixes,Ovation Greens Mix,Greens Mixes:Ovation Greens Mix:2026-02-14,Baby Greens,medium,Salad succession engine - high water,,#2E8B57,0.7,dashed,1
1,8,BENEFICIAL,,,,,,,,#B3D9FF,1.0,solid,2
1,9,CROP,Lettuce (Mixed),Allstar Gourmet Mix,Lettuce (Mixed):Allstar Gourmet Mix:2026-02-14,Baby Greens,medium-high,Baby lettuce mix,,#2E8B57,1.0,solid,3
1,10,CROP,Lettuce (Mixed),Allstar Gourmet Mix,Lettuce (Mixed):Allstar Gourmet Mix:2026-02-14,Baby Greens,medium-high,Baby lettuce mix,,#2E8B57,1.0,solid,3
1,11,CROP,Lettuce (Mixed),Allstar Gourmet Mix,Lettuce (Mixed):Allstar Gourmet Mix:2026-02-14,Baby Greens,medium-high,Baby lettuce mix,,#2E8B57,1.0,solid,3
1,12,CROP,Lettuce (Mixed),Allstar Gourmet Mix,Lettuce (Mixed):Allstar Gourmet Mix:2026-02-14,Baby Greens,medium-high,Baby lettuce mix,,#2E8B57,1.0,solid,3
1,13,CROP,Lettuce (Mixed),Allstar Gourmet Mix,Lettuce (Mixed):Allstar Gourmet Mix:2026-02-14,Baby Greens,medium-high,Baby lettuce mix,,#2E8B57,1.0,solid,3
1,14,CROP,Lettuce (Mixed),Allstar Gourmet Mix,Lettuce (Mixed):Allstar Gourmet Mix:2026-02-14,Baby Greens,medium-high,Baby lettuce mix,,#2E8B57,1.0,solid,3
1,15,FLOWER,,,,,,,,#E6A8D7,1.0,solid,4
2,0,FLOWER,,,,,,,,#E6A8D7,1.0,solid,5
2,1,CROP,Arugula,Wild Arugula,Arugula:Wild Arugula:2026-02-14,Baby Greens,medium,Anchor green - isolated to prevent spread,,#2E8B57,0.7,dashed,6
2,2,CROP,Arugula,Wild Arugula,Arugula:Wild Arugula:2026-02-14,Baby Greens,medium,Anchor green - isolated to prevent spread,,#2E8B57,0.7,dashed,6
2,3,CROP,Arugula,Wild Arugula,Arugula:Wild Arugula:2026-02-14,Baby Greens,medium,Anchor green - isolated to prevent spread,,#2E8B57,0.7,dashed,6
2,4,CROP,Arugula,Wild Arugula,Arugula:Wild Arugula:2026-02-14,Baby Greens,medium,Anchor green - isolated to prevent spread,,#2E8B57,0.7,dashed,6
2,5,CROP,Arugula,Wild Arugula,Arugula:Wild Arugula:2026-02-14,Baby Greens,medium,Anchor green - isolated to prevent spread,,#2E8B57,0.7,dashed,6
2,6,CROP,Arugula,Wild Arugula,Arugula:Wild Arugula:2026-02-14,Baby Greens,medium,Anchor green - isolated to prevent spread,,#2E8B57,0.7,dashed,6
2,7,BENEFICIAL,,,,,,,,#B3D9FF,1.0,solid,7
2,8,CROP,Greens Mixes,Ovation Greens Mix,Greens Mixes:Ovation Greens Mix:2026-02-14,Baby Greens,medium,Overflow greens,,#2E8B57,0.7,dashed,8
2,9,CROP,Greens Mixes,Ovation Greens Mix,Greens Mixes:Ovation Greens Mix:2026-02-14,Baby Greens,medium,Overflow greens,,#2E8B57,0.7,dashed,8
2,10,CROP,Greens Mixes,Ovation Greens Mix,Greens Mixes:Ovation Greens Mix:2026-02-14,Baby Greens,medium,Overflow greens,,#2E8B57,0.7,dashed,8
2,11,CROP,Greens Mixes,Ovation Greens Mix,Greens Mixes:Ovation Greens Mix:2026-02-14,Baby Greens,medium,Overflow greens,,#2E8B57,0.7,dashed,8
2,12,CROP,Greens Mixes,Ovation Greens Mix,Greens Mixes:Ovation Greens Mix:2026-02-14,Baby Greens,medium,Overflow greens,,#2E8B57,0.7,dashed,8
2,13,CROP,Greens Mixes,Ovation Greens Mix,Greens Mixes:Ovation Greens Mix:2026-02-14,Baby Greens,medium,Overflow greens,,#2E8B57,0.7,dashed,8
2,14,EMPTY,,,,,,,,#F2F2F2,1.0,solid,9
2,15,FLOWER,,,,,,,,#E6A8D7,1.0,solid,10
3,0,FLOWER,,,,,,,,#E6A8D7,1.0,solid,11
3,1,CROP,Lettuce (Mixed),Allstar Gourmet Mix,Lettuce (Mixed):Allstar Gourmet Mix:2026-02-14,Baby Greens,medium-high,Overflow lettuce,,#2E8B57,1.0,solid,12
3,2,CROP,Lettuce (Mixed),Allstar Gourmet Mix,Lettuce (Mixed):Allstar Gourmet Mix:2026-02-14,Baby Greens,medium-high,Overflow lettuce,,#2E8B57,1.0,solid,12
