https://www.grit.com/farm-and-garden/vegetables/vegetable-yields-per-plant-zm0z24jfzols/
Asparagus 2-3
"Beans, green 0.5-1"
"Beans, lima 2"
Beets 0.25
Broccoli 1
Brussels sprouts 1-2
Cabbage 2-4
Carrots 0.25
Cauliflower 1-2
Celery 0.5
"Corn, sweet 1-1.5"
Cucumbers 3-5
Eggplants 8-11
Kale 1-5
Leeks 0.25
Lettuce 1
Okra 1-5
Onions 0.5
Parsnips 0.33-0.75
"Peas, shelled 3"
Pea pods 6
Peppers 1-5
"Potatoes, Irish 3-10"
"Potatoes, sweet 2-3"
Pumpkins 2-10
Rutabagas 1-3
Spinach 0.25-1
"Squash, summer 5-20"
"Squash, winter 10-20"
Swiss chard 8-12
Tomatoes 5-15
Turnips 0.5
