crop,variety,last_order,lo_yield,hi_yield,notes,url,web_days_to_maturity,web_final_spacing,web_seeds_per_packet,js_growing_notes
Tomatoes,Jolene F1,12/21/2025,5,15,beefsteak,https://www.johnnyseeds.com/vegetables/tomatoes/beefsteak-tomatoes/jolene-f1-tomato-seed-4778.html,79 days,"12–24""",15,"Smooth, deep red beefsteak sets fruit in heat when other tomatoes will not. Round, clean, 8–10 oz. lightly ribbed fruits for mature-green and vine-ripe markets. Improved plant health, production, and fruit quality over Grand Marshall. Strong TYLCV resistance for growers in the Deep South. Determinate. Disease Resistance: Fusarium Crown and Root Rot (High); Fusarium Wilt races 1–2 (High); Tomato Yellow Leaf Curl Virus (High); Verticillium Wilt (High). Culture: Medium-rich soil with pH 6.0–6.8 preferred; fertilize accurately. Tomatoes typically germinate in 5–7 days. Transplanting: sow 1/4"" deep in 20-row flats with 20 seeds/row or in 200-cell trays with 1 seed/cell; keep mix at 75–85°F (24–29°C) with moderate moisture. At first true leaf, pot-up to 50-cell trays or 4"" pots; grow at constant 60–70°F (16–21°C) until hardened off. Avoid exposing unprotected plants to consecutive nightly temperatures below 45°F (7°C). In rows 4–6' apart, space determinates 12–24"". Plant deeply to encourage adventitious rooting. Trellising and pruning recommendations and harvest/storage guidance provided."
Tomatoes,Verona F1,12/21/2025,5,15,"organic, paste",https://www.johnnyseeds.com/vegetables/tomatoes/paste-tomatoes/verona-organic-f1-tomato-seed-3811G.html,67 days,"24–36""",15,"Similar to Juliet, but with even tastier, somewhat more plump, deep red ""cocktail plum"" fruits averaging 2 1/2 oz. Long clusters on a medium-vigorous vine. Indeterminate. USDA Certified Organic. Disease Resistance: Early Blight (Intermediate) Fusarium Wilt races 1 (High) Verticillium Wilt (High) Specs: Packet: 15 seeds Avg. 15,200 seeds/oz"
Peppers (Sweet),Huntington F1 Bell,12/21/2025,1,5,,https://www.johnnyseeds.com/vegetables/peppers/sweet-bell-peppers/huntington-f1-bell-pepper-seed-5262.html,66 green; 86 red ripe,"12-18""",25,"Large smooth fruits are blocky to slightly elongated in shape. Medium-sized plants with an exceptional canopy to protect the fruits from sun scald. Performs well in California and the Pacific Northwest. Disease Resistance: Bacterial Leaf Spot races 1–3, 7–8 (High) Phytophthora Blight (Intermediate) Tobamovirus races 0 (High) Tomato Spotted Wilt Virus (Intermediate). Specs: Packet: 25 seeds; Avg. 60,300 seeds/lb."
Peppers (Hot),Flaming Flare F1 Fresno,12/21/2025,1,5,,https://www.johnnyseeds.com/vegetables/peppers/hot-peppers/flaming-flare-f1-fresno-pepper-seed-3270.html,67 green; 77 red ripe,"12-18"" apart in rows 24-36"" apart",25,"Conical-shaped fruits are thin walled, avg. 4"" long, and ripen to a bright red. Their flavor is sweet, mildly hot, and very good. Excellent for fresh use, stir fries, sautéing, and hot sauce. AAS Winner. Disease Resistance: Tobamovirus races 0 (High) Specs: Packet: 25 seeds Avg. 6,050 seeds/oz"
Peppers (Hot),Sargento F1 Poblano,12/21/2025,1,5,,https://www.johnnyseeds.com/vegetables/peppers/hot-peppers/sargento-f1-poblano-pepper-seed-4752.html,65 green; 85 red ripe,"12-18"" apart",25,"The 2 and 3-lobed fruits are smooth, shiny, and very dark green. Similar in appearance to Baron, but fruits average slightly larger at 5–6"" long x 3"" wide. Plants are tall, vigorous, and have an excellent yield potential. Disease Resistance: Phytophthora Blight (Intermediate) Specs: Packet: 25 seeds Avg. 54,900 seeds/lb"
Celery,Tango,12/21/2025,0.5,0.5,organic - *shopper requested*,https://www.johnnyseeds.com/vegetables/celery-and-celeriac/celery/tango-organic-celery-seed-647G.html,80 days,"6–8"" apart in rows 24–36"" apart",250,"Highly adaptable variety with great flavor and tender stalks. Tango performs well under less-than-ideal growing conditions such as heat or moisture stress. Can be winter grown in milder climates for cut-and-come-again stalks for bunching. Also available with NOP-compliant pelleting. USDA Certified Organic. Specs: Packet: 250 seeds Avg. 66,700 seeds/oz"
Onions,Maragogi F1,12/21/2025,0.25,0.35,bulbing types vary by daylength,https://www.johnnyseeds.com/vegetables/onions/full-size-onions/maragogi-f1-onion-seed-5230.html,145 from fall planting,"4"" x 12–18""",250,"Maragogi is a productive yellow short-day onion for the early/main season. Offers a great balance of earliness, yield, and exceptional uniformity. With intermediate resistance to Fusarium and pink root rot, Maragogi's healhy plants produce attractive jumbo-sized granex bulbs with a high percentage of single centers. For short storage (2–3 months) under ideal conditions. Disease Resistance: Fusarium Basal Rot (Intermediate) Pink Root (Intermediate) Specs: Packet: 250 seeds Avg. 87,100 seeds/lb"
Peppers (Sweet),Goddess F1 Banana,,1.0,5.0,,https://www.johnnyseeds.com/vegetables/peppers/sweet-peppers/goddess-f1-banana-pepper-seed-3230.html,63 yellow; 83 red ripe,"12-18"" apart in rows 24-36"" apart",25,"Long, thick-walled, smooth fruits are borne on large plants. Avg. 8-9"" long, the fruits are mild when yellow and moderately sweet when they ripen red. Best for pickling due to their mild flavor, but also suitable for fresh market. Widely adapted. Disease Resistance: Bacterial Leaf Spot races 1–3, 7, 8 (High) Specs: Packet: 25 seeds Avg. 3,900 seeds/oz"
Peppers (Sweet),Cornito Pepper Mix Organic F1,,1.0,5.0,organic,https://www.johnnyseeds.com/vegetables/peppers/sweet-peppers/cornito-pepper-mix-organic-f1-corno-di-toro-pepper-seed-5055G.html,55–60 green; 75–80 ripe,"12-18"" apart in rows 24-36""",25,"A popular class of peppers, cornitos are 1–1 1/2"" wide at the shoulders and 5"" long. They are exceptionally sweet and attractive smaller versions of Carmen and Escamillo, with similar maturity. Perfect for grilling and roasting. Productive plants. Grow and sell them individually, or as mixed colors, loose or in clamshells. Known as a kapia type in Europe, where it is quite popular. Bred by Janika Eckert and Emily Rose Haga. Includes Cornitos Rosso, Giallo, and Arancia. USDA Certified Organic. Specs: Packet: 25 seeds Avg. 64,000 seeds/lb"
Tomatoes,Galahad Organic F1,,5.0,15.0,organic,https://www.johnnyseeds.com/vegetables/tomatoes/beefsteak-tomatoes/galahad-organic-f1-tomato-seed-4055G.html,72 days,"12–24""",15,"Galahad boasts fantastic flavor and an impressive disease resistance profile, which extends much-needed protection to regions ranging from the Midwest to the Deep South. Early maturity and resistance to early blight make Galahad a strong contender in the North. The round, 7–12 oz. fruits can be harvested with green shoulders and ripened red in storage, or ripened on the vine. Vigorous plants. AAS Regional Winner for the Heartland, West/Northwest regions. Determinate. USDA Certified Organic. Disease Resistance: Early Blight (Intermediate) Fusarium Wilt races 1–3 (High) Gray Leaf Spot (High) Late Blight (High) Nematodes (High) Tomato Spotted Wilt Virus (High) Verticillium Wilt (High) Specs: Packet: 15 seeds Avg. 123,000 seeds/lb"
Tomatoes,Sun Gold F1,,5.0,15.0,cherry,https://www.johnnyseeds.com/vegetables/tomatoes/cherry-tomatoes/sun-gold-f1-tomato-seed-770.html,57 days,"Determinates 12–24"", Indeterminates 24–36""",40,"Exceptionally sweet, bright tangerine-orange cherry tomatoes leave everyone begging for more. Vigorous plants start yielding early and bear right through the season. Tendency to split precludes shipping, making these an exclusively fresh-market treat. The taste can't be beat. 15–20 gm. fruits. Indeterminate. Disease Resistance: Fusarium Wilt races 1 (High) Tobacco Mosaic Virus (High) Specs: Packet: 40 seeds Avg. 15,950 seeds/oz"
Tomatoes,Jasper Organic F1,,5.0,15.0,"organic, cherry",https://www.johnnyseeds.com/vegetables/tomatoes/cherry-tomatoes/jasper-organic-f1-tomato-seed-3812G.html,60 days,"24–36""",15,"Round, 7–10 gm. fruits are crack resistant, borne on small trusses, and store on the plant well, resisting cracking and rot. The texture is pleasantly chewy, and the flavor is sweet and rich. Plants are extra vigorous and tall, staying healthy for a long picking period. Indeterminate. AAS Winner. USDA Certified Organic. Disease Resistance: Early Blight (Intermediate) Late Blight (High) Specs: Packet: 15 seeds Avg. 14,650 seeds/oz"
Tomatoes,Supersweet 100 F1,,5.0,15.0,cherry,https://www.johnnyseeds.com/vegetables/tomatoes/cherry-tomatoes/supersweet-100-f1-tomato-seed-3981.html,60 days,"12–24"" (determinate); 24–36"" (indeterminate)",40,"Reliable cherry with prolific yields of great-tasting, 15–20 gm. fruits produced in large clusters. Widely adapted. Indeterminate. Disease Resistance: Fusarium Wilt races 1 (High) Verticillium Wilt (High) Specs: Packet: 40 seeds Avg. 19,500 seeds/oz"
Turnips,Hakurei F1,,0.5,1.0,,https://www.johnnyseeds.com/vegetables/turnips/hakurei-f1-turnip-seed-706.html,38 days,"12–18""",400,"The smooth, flat-round, white roots mature early (just after radishes) and are best harvested young, up to 2"" diameter. Eaten raw, the flavor is sweet and fruity and the texture is juicy and tender. The tops may be eaten raw or lightly cooked. Hakurei stays smooth as it sizes. Turnips are tolerant of moderate frost and prefer a fertile, well-drained soil, with a pH of 6.0–7.5. Sow early spring through late summer in a 2–4"" wide band, seeds 1"" apart (35 seeds/ft.) for small turnips or 2"" apart (and half this rate) for larger turnips. Sow 1/4– 1/2"" deep in rows 12–18"" apart. Floating row covers installed at the time of sowing will keep the turnips free of insect pests, including flea beetles and root maggots. Young radish-size turnips are ready in about 30 days; full-size turnips are ready in about 40–50 days. Turnips with greens store at 32°F (0°C) and 95% relative humidity (RH) for 10–14 days."
