crop,botanical,variety,supplier,last_order,stock_quantity,season,water,plant_window,method,transplant_after,mature_after,rows/pattern,count_ft,count_sq_ft,lo_yield,hi_yield,notes,url,web_soil_temp,web_planting_depth,sdsc_days_to_germ,web_days_to_maturity,sdsc_succession,web_best_planting_method,web_thin_to,web_final_spacing,sdsc_area_to_sow,sdsc_plant_height,sdsc_plant_spread,packet_type,web_seeds_per_packet,notes,js_growing_notes,scrape_status,scrape_date
Broccoli,Brassica oleracea,Waltham 29,SDSC,,,cool,medium-high,Aug–Feb,transplant,35,70,2,0.67,,1,1,organic,https://sandiegoseedcompany.com/product/vegetables/broccoli/organic-waltham-29-broccoli-seeds/,55° F+,"1/4""",3-10+,75+,21 days,Transplant,"≥2"" apart","≥24"" apart",60' row,"30""","24""",single,65,,N/A,success,2025-12-24 11:20:09
Broccoli,Brassica oleracea,Steve's Tender Early Green,SDSC,,,cool,medium-high,Aug–Feb,transplant,35,70,2,0.67,,1,1,organic,https://sandiegoseedcompany.com/product/vegetables/broccoli/organic-steves-tender-early-green-broccoli-seeds/,55° F+,"1/4""",3-10+,60+,21 days,Transplant,"≥2"" apart","≥24"" apart",60' row,"30""","12""",single,60,,N/A,success,2025-12-24 11:20:09
Broccoli,Brassica oleracea,Sprouting Di Cocco,SDSC,,,cool,medium-high,Aug–Feb,transplant,35,70,2,0.67,,1,1,organic,https://sandiegoseedcompany.com/product/vegetables/broccoli/organic-sprouting-di-cocco-broccoli-seeds/,55° F+,"1/4""",3-10+,55+,21 days,Transplant,"≥3"" apart","≥24"" apart",60' row,"30""","12""",single,60,,N/A,success,2025-12-24 11:20:09
Broccoli,Brassica oleracea,Belstar F1,JS,12/21/2025,1 packet,cool,medium-high,Aug–Feb,transplant,35,70,2,0.67,,1,1,organic - *shopper requested*,https://www.johnnyseeds.com/vegetables/broccoli/standard-broccoli/belstar-organic-f1-broccoli-seed-2815G.html,75–80°F (24–27°C),"½""",N/A,65 days,21 days,Either,one plant in each group,"10–18"" apart (rows 18–36"" apart)",N/A,N/A,N/A,single,100,,"Belstar has proven to be widely adapted, and has performed particularly well in Florida in the winter. Heads are medium green and well-domed with a medium-size bead. Strong, stress-tolerant plants with good side-shoot production. For summer and fall harvest. USDA Certified Organic. Specs: Packet: 100 seeds Avg. 142,100 seeds/lb",success,2025-12-24 11:20:47
Broccoli,Brassica oleracea,Happy Rich F1,JS,12/21/2025,1 packet,cool,medium-high,Aug–Feb,transplant,35,70,2,0.67,,1,1,mini broccoli,https://www.johnnyseeds.com/vegetables/broccoli/mini-broccoli/happy-rich-f1-broccoli-seed-2629.html,75–85°F (24–29°C),"¼"" deep",N/A,27 days,21 days,either,thinning to same plant density noted in transplanting recommendations.,"Space rows 18–36"" apart, and transplant 4–6"" apart within rows for ‘Melody', 12–18"" apart for ‘Burgundy' and 'Sidekick', 12–24"" apart for 'Bonarda', and 6–12"" apart for all other varieties.",N/A,N/A,N/A,single,100,,"Uniform, vigorous, dark green plants produce jumbo-size florets that resemble mini heads of broccoli, and have an excellent sweet broccoli flavor. This sprouting broccoli produces ample amounts of side shoots when plants are spaced 12–18"" apart. For a single crop harvest, space plants 6–8"" apart. Pinching not necessary. CULTURE: Prefers a well-drained, fertile soil high in organic matter with a pH of 6.0–7.5. Prefers a consistent supply of moisture throughout the growing season. Irrigate regularly for best results. TRANSPLANTING: Sow 2 seeds per cell in 72-cell plug flats, 3–4 seeds/in. in 20-row flats, or in outdoor beds ¼"" deep. Seedlings should be ready to transplant in 3–4 weeks. If possible, keep soil temperature 75–85°F (24–29°C) until germination, then reduce air temperature to about 60°F (16°C). Ensure good air circulation and light. DIRECT SEEDING: Sow 2–3 seeds/ft., ½"" deep, rows 18–36"" apart, thinning to same plant density noted in transplanting recommendations. INSECT PESTS AND DISEASE: Prevent flea beetle damage by applying floating row cover at planting. Flea beetles can also be controlled with insecticides such as azadirachtin or pyrethrin. Cabbage worms can be controlled with Bacillus thuringiensis. Prevent disease with crop rotation and good sanitation. CROP MAINTENANCE: For some varieties, side-shoot production can be increased by pinching the initial head as soon as it forms. HARVEST: Before flower buds open, cut stems of central head and side shoots. Stems 4–8"" in length can be bunched for sale or sold loose. Harvest side shoots every 2–3 days in warm weather and every 5–7 days in cool weather to encourage continued production.",success,2025-12-24 11:20:50
Napa Cabbage,Brassica rapa,Mini Napa Chinese Cabbage,SDSC,,,cool,medium-high,Aug–Feb,transplant,35,85,2,0.56,,2,4,,https://sandiegoseedcompany.com/product/vegetables/cabbages/mini-napa-chinese-cabbage-seeds/,55° F+,1/4”,3–10+,50+,10 days,Direct or transplant,"≥2"" apart","≥12"" apart",20' row,"8–10""","4-6""",single,40,,N/A,success,2025-12-24 11:20:14
Cabbage,Daucus carota var. sativus,Red Acre,SDSC,,,cool,medium-high,Aug–Feb,transplant,35,85,2,0.56,,2,4,organic,https://sandiegoseedcompany.com/product/vegetables/cabbages/organic-red-acre-cabbage-seeds/,55° F+,"1/4""",3-10+,75+,21 days,Transplant,"≥2"" apart","≥24"" apart",60' row,"4-8""","2-4""",single,53,,N/A,success,2025-12-24 11:20:14
Pak Choi,Brassica rapa,White Stem Pak Choi,SDSC,,,cool,medium-high,Aug–Feb,transplant,35,85,5-star,0.56,,2,4,organic,https://sandiegoseedcompany.com/product/vegetables/cabbages/organic-white-stem-pak-choi-seeds/,50° F+,"1/4""",3-10+,45+,10 days,Direct or transplant,"≥4"" apart","≥8"" apart",300',"12-18""","24-48""",single,65,,N/A,success,2025-12-24 11:20:10
Cabbage,Brassica oleracea var. capitata,Bronco F1,JS,12/21/2025,1 packet,cool,medium-high,Aug–Feb,transplant,35,85,2,0.56,,2,4,organic - *shopper requested*,https://www.johnnyseeds.com/vegetables/cabbage/fresh-market-cabbage/bronco-organic-f1-cabbage-seed-5195G.html,75°F (24°C),"1/2""",N/A,80 days,21 days,Either,"12"" apart","12-18""",N/A,N/A,N/A,single,50,,"Bronco has become a standard due to its wide adaptability and reliability. Heads average 3–5 lb. and have a short core and very good eating quality. Upright plant allows for optimal air circulation and less disease pressure. USDA Certified Organic. Disease Resistance: Fusarium Yellows (High) Specs: Packet: 50 seeds Avg. 75,900 seeds/lb",success,2025-12-24 11:20:31
Chinese Cabbage,Brassica rapa var. pekinensis,Bilko F1 Chinese Cabbage,JS,12/21/2025,1 packet,cool,medium-high,Aug–Feb,transplant,35,85,2,0.56,,2,4,organic - *shopper requested*,https://www.johnnyseeds.com/vegetables/chinese-cabbage/bilko-organic-f1-chinese-cabbage-seed-2814G.html,75°F (24°C),"1/4""",N/A,57 days,14-21 days (shorter if warm),either,"12–18""","18-30""",N/A,N/A,N/A,single,100,,"Compared to Haku, Bilko is slightly bigger at 12"", darker green, and a couple of days later. Wide adaptability. Slow-bolting heads have a good, mild, sweet flavor. USDA Certified Organic. Disease Resistance: Club Root (High) Fusarium Yellows (High). Specs: Packet: 100 seeds; Avg. 135,400 seeds/lb",success,2025-12-24 11:20:40
