crop,variety,supplier,order_date,stock_quantity,season,water,sow,method,transplant_after,mature_after,rows/pattern,count_ft,count_sq_ft,lo_yield,hi_yield,harvest_info,packet_type,notes,url
Broccoli,Waltham 29,SDSC,,,cool,medium-high,Aug–Feb,transplant,35,70,2,0.67,,1,1,,single,organic,https://sandiegoseedcompany.com/product/vegetables/broccoli/organic-waltham-29-broccoli-seeds/
Broccoli,Steve's Tender Early Green,SDSC,,,cool,medium-high,Aug–Feb,transplant,35,70,2,0.67,,1,1,,single,organic,https://sandiegoseedcompany.com/product/vegetables/broccoli/organic-steves-tender-early-green-broccoli-seeds/
Broccoli,Sprouting Di Cocco,SDSC,,,cool,medium-high,Aug–Feb,transplant,35,70,2,0.67,,1,1,,single,organic,https://sandiegoseedcompany.com/product/vegetables/broccoli/organic-sprouting-di-cocco-broccoli-seeds/
Broccoli,Belstar F1,JS,,,cool,medium-high,Aug–Feb,transplant,35,70,2,0.67,,1,1,,single,organic - *shopper requested*,https://www.johnnyseeds.com/vegetables/broccoli/standard-broccoli/belstar-organic-f1-broccoli-seed-2815G.html
Broccoli,Happy Rich F1,JS,,,cool,medium-high,Aug–Feb,transplant,35,70,2,0.67,,1,1,,single,mini broccoli,https://www.johnnyseeds.com/vegetables/broccoli/mini-broccoli/happy-rich-f1-broccoli-seed-2629.html
Napa Cabbage,Mini Napa Chinese Cabbage,SDSC,,,cool,medium-high,Aug–Feb,transplant,35,85,2,0.56,,2,4,,single,,https://sandiegoseedcompany.com/product/vegetables/cabbages/mini-napa-chinese-cabbage-seeds/
Cabbage,Red Acre,SDSC,,,cool,medium-high,Aug–Feb,transplant,35,85,2,0.56,,2,4,,single,organic,https://sandiegoseedcompany.com/product/vegetables/cabbages/organic-red-acre-cabbage-seeds/
Pak Choi,White Stem Pak Choi,SDSC,,,cool,medium-high,Aug–Feb,transplant,35,85,5-star,0.56,,2,4,,single,organic,https://sandiegoseedcompany.com/product/vegetables/cabbages/organic-white-stem-pak-choi-seeds/
Cabbage,Bronco F1,JS,,,cool,medium-high,Aug–Feb,transplant,35,85,2,0.56,,2,4,,single,organic - *shopper requested*,https://www.johnnyseeds.com/vegetables/cabbage/fresh-market-cabbage/bronco-organic-f1-cabbage-seed-5195G.html
Chinese Cabbage,Bilko F1 Chinese Cabbage,JS,,,cool,medium-high,Aug–Feb,transplant,35,85,2,0.56,,2,4,,single,organic - *shopper requested*,https://www.johnnyseeds.com/vegetables/chinese-cabbage/bilko-organic-f1-chinese-cabbage-seed-2814G.html
